years_since_founded,funding_rounds,funding_total_usd,milestones,has_invested_other_companies,description,last_raised_amount_usd,last_funding_participants_cnt,category_code,last_funding_round_type,is_ipo_or_acquired
1.0,1,100000.0,4.0,0,nan,100000.0,0,web,angel,0
2.0,1,600000.0,1.0,0,nan,600000.0,0,software,angel,0
2.0,4,25824256.0,3.0,0,Began releasing cross-platform app performance info,1200000.0,5,mobile,angel,0
2.0,1,11000.0,1.0,0,nan,11000.0,0,messaging,angel,0
7.0,3,10500000.0,3.0,0,nan,3000000.0,1,web,series-a,0
4.0,1,2000000.0,3.0,0,Our robust campaign effectiveness methodology that helps premium publishers measure ad effectiveness. It provides a rigorous methodology for measuring audiences and ad campaign effectiveness with a level of granularity not possible with any other solution Crowd Science acquired by YuMe,2000000.0,1,web,series-a,0
2.0,2,,,0,nan,,1,analytics,angel,0
2.0,1,400000.0,2.0,0,nan,400000.0,0,social,angel,0
3.0,1,1000000.0,2.0,0,nan,1000000.0,10,mobile,angel,0
,8,5520000.0,2.0,0,nan,1000000.0,0,analytics,series-a,0
3.0,4,49000000.0,3.0,0,CrowdStarâ€™s New iOS Game Top Girl Sees One Million Downloads in 10 Days CrowdStar And YouWeb Launch $10M StarFund For Mobile Social Game Development,23000000.0,4,games_video,venture,0
2.0,3,56014852.0,2.0,0,nan,14852.0,0,security,other,0
4.0,1,,2.0,0,nan,,0,mobile,angel,0
12.0,2,10250000.0,,0,nan,4250000.0,0,software,series-a,0
5.0,2,4800000.0,2.0,0,nan,4050000.0,2,games_video,series-a,1
0.0,1,100000.0,,0,nan,100000.0,0,social,venture,0
15.0,2,47000000.0,4.0,0,"CSS Corp expands into Eastern Europe. Sets up near shore Tech Support facility in Poland CSS Corp consolidates presence in the Philippines. CSS Corp set to ramp up its existing support facility in Manila, Philippines. This facility is set to evolve into a full-fledged 1000-seat center  CSS Corp, a leading technology operations management organization headquartered in San Jose, CA, has won the prestigious - The Great Mind Challenge for Business 2009 Award for the most Innovative Collaboration Solution. CSS Corp has received the award in  ChangeBASE AOK the world leader in automated application compatibility testing and remediation, recently announced the signing of a global partnership agreement with CSS, a global technology solutions provider to enterprises, consumers & technology compan CSS Corp announced it has acquired Glow Networks, a telecommunications services and engineering company providing end-to-end network services, and the remote infrastructure management services (RIMS) business unit of InteQ, a leader in On Demand IT Servic CSS Corp announced the acquisition of Aliquo Solutions Limited of the UK, a niche IT consulting firm focused on IT transformation. With this acquisition, CSS will leverage Aliquo's wealth of offshoring advisory and execution experience to compliment its p 4D Global Partners, licensees of the For DummiesÂ® brand, announced today that it has partnered with CSS Corporation, a global leader in the technical support services industry, and Wiley, licensors of the For Dummies brand, to introduce the launch of ""Te CSS Corp has today launched its new corporate identity, unveiled its greatly expanded services portfolio and inaugurated a new facility at Ambit Park to mark the start of its next decade of aggressive international expansion that will see the company doub CSS Corp today announced the appointment of TG Ramesh (Tiger) as its Global CEO with effect from 1st July 2011. Tiger Ramesh has significant experience in building businesses in the services and technology space. CSS Corp announced its partnership with Gluster, a leading provider of scale-out, open source storage solutions. This services roll-out partnership will mutually help Gluster and CSS Corp to meet the widespread demand of storage solutions & distribution. ",22000000.0,3,software,venture,0
1.0,1,10000.0,1.0,0,nan,10000.0,1,mobile,angel,0
2.0,3,500000.0,3.0,0,"CumuLogic Cloud Services are available on HP Cloud Contegix Announces Availability of New MiraCloud Services, Powered by CumuLogic Chip Childers, CumuLogic's new VP of Product Strategy and
VP of Apache CloudStack for the Apache Software Foundation (ASF) to guide CumuLogicï¿?s cloud services platform future direction. CloudCentral launches cloud services portfolio powered by Cumulogic",250000.0,0,software,angel,0
5.0,6,670000.0,2.0,0,CUneXus Partners with Digital Insight,35000.0,1,software,angel,0
35.0,1,15000000.0,,0,nan,15000000.0,0,ecommerce,private-equity,0
1.0,1,,3.0,0,"Website dead, Twitter 0 updates for 1 year.",,1,web,angel,0
3.0,2,1200000.0,2.0,0,nan,,1,social,angel,0
7.0,2,12000000.0,,0,nan,6000000.0,2,games_video,series-a,0
0.0,2,2550000.0,1.0,0,nan,850000.0,1,ecommerce,venture,0
5.0,2,30750000.0,2.0,0,"Company Founded Founding of Company Deployment of first system carrying live services Cyan Announces Industry's First Purpose-built P-OTS with 20 customers
 Cyan Launches CyAlliance Program Cyan Launches CyAlliance Program Cyan Announces Industry First: Multi-Layer Heat Map Announcement of First International Deployments Cyan wins Red Herring Award
 Announcement of First Broadband Stimulus (Middle-Mile) Award Selection",8750000.0,3,software,series-a,1
2.0,1,152000.0,,0,nan,152000.0,0,games_video,angel,0
0.0,1,50000.0,1.0,0,nan,50000.0,0,web,angel,0
,2,16333000.0,1.0,0,nan,3333000.0,0,software,series-a,0
3.0,2,7850000.0,1.0,0,Launches 3D Deal Maps / 3D Social websites,4300000.0,1,software,series-a,0
2.0,1,3000000.0,,0,nan,3000000.0,0,software,series-a,0
0.0,1,,1.0,0,nan,,1,software,angel,0
1.0,1,15000000.0,1.0,0,nan,15000000.0,2,security,series-a,0
13.0,2,2314666.0,1.0,0,nan,1314666.0,0,software,angel,0
,1,350000.0,2.0,0,nan,350000.0,0,games_video,angel,0
1.0,1,,1.0,0,nan,,2,mobile,angel,0
,2,450000.0,1.0,0,nan,,0,web,series-a,0
2.0,1,,2.0,0,nan,,5,web,angel,0
4.0,1,600000.0,2.0,0,nan,600000.0,6,software,angel,0
7.0,2,9821107.0,,0,nan,757750.0,0,mobile,venture,0
7.0,2,14500000.0,3.0,0,Paul Kim becomes Founder and CEO of BilltoMobileÂ® ,9500000.0,1,mobile,series-a,0
0.0,1,1000000.0,1.0,0,nan,1000000.0,5,ecommerce,angel,0
1.0,1,,2.0,0,nan,,5,analytics,angel,0
,1,14000000.0,,0,nan,14000000.0,1,analytics,venture,0
2.0,2,4150000.0,2.0,0,nan,1000000.0,7,analytics,angel,0
4.0,3,17750000.0,3.0,0,Added Shawn Price as Board of Directors Added Peter Voss as CTO Launched Datameer 2.0 Introduction of Datameer Analytics App Market Workday OEMs Datameer,2500000.0,1,analytics,series-a,0
3.0,5,83700000.0,3.0,0,Adds Pavan Venkatesh as Senior Product Manager,,1,analytics,angel,0
1.0,2,8750000.0,2.0,0,nan,750000.0,2,analytics,angel,0
10.0,1,600000.0,1.0,0,nan,600000.0,4,games_video,angel,0
3.0,1,4500000.0,2.0,0,nan,4500000.0,1,security,series-b,0
5.0,1,,,0,nan,,5,mobile,series-a,0
1.0,1,,,0,nan,,0,mobile,angel,0
5.0,1,1000000.0,2.0,0,nan,1000000.0,3,web,angel,0
1.0,1,,2.0,0,Launched Alpha Launched Beta,,3,web,angel,0
3.0,1,500000.0,1.0,0,nan,500000.0,0,software,angel,0
6.0,2,15000000.0,2.0,0,nan,5000000.0,3,games_video,series-a,0
17.0,6,56063148.0,1.0,0,nan,10700000.0,4,software,venture,1
16.0,3,11927400.0,,0,nan,6336000.0,0,software,venture,0
,2,7535000.0,1.0,0,nan,7000000.0,3,software,series-c+,1
3.0,1,1500000.0,2.0,0,nan,1500000.0,1,web,series-a,0
13.0,10,466905435.0,5.0,0,"Deem@Work launches, helping Small Businesses Save Time and Money on Everyday Purchases
",42000000.0,7,ecommerce,venture,0
8.0,2,5375000.0,,0,nan,375000.0,0,web,venture,0
1.0,1,9500000.0,2.0,0,nan,9500000.0,2,security,series-a,1
2.0,2,5100000.0,3.0,0,Dekko Debuts An Augmented Reality Racing Game Playable From The iPad,1900000.0,12,mobile,series-a,0
1.0,2,7850000.0,2.0,0,nan,1000000.0,5,ecommerce,angel,0
12.0,9,128091316.0,3.0,0,Delivery Agent Buys Sample Sales Site Billion Dollar Babes,5500000.0,2,ecommerce,series-a,0
4.0,3,44500000.0,2.0,0,nan,8500000.0,2,software,series-a,0
7.0,3,33000000.0,3.0,0,Demandbase recognized as one of the Hottest San Francisco Companies by Lead411 ,8000000.0,3,analytics,series-b,0
1.0,1,25000.0,,0,nan,25000.0,0,mobile,other,0
7.0,1,2190000.0,,0,nan,2190000.0,2,software,venture,0
5.0,1,86626.0,,0,nan,86626.0,1,software,angel,0
2.0,3,900000.0,1.0,0,nan,800000.0,3,software,angel,0
,2,45473.0,,0,nan,32723.0,0,analytics,venture,1
13.0,2,13537704.0,2.0,0,nan,3500000.0,1,web,series-a,0
13.0,4,18670000.0,1.0,0,nan,12200000.0,4,mobile,series-b,0
7.0,4,45500000.0,3.0,0,Company name change,10500000.0,5,software,series-a,0
,1,3000000.0,,0,nan,3000000.0,4,software,series-a,0
,2,43019869.0,1.0,0,nan,39529815.0,0,software,series-c+,1
1.0,1,,2.0,0,nan,,1,web,angel,0
3.0,1,2000000.0,2.0,0,nan,2000000.0,10,analytics,series-a,0
2.0,1,450000.0,,0,nan,450000.0,0,software,venture,0
11.0,4,19903476.0,,0,nan,6000000.0,2,ecommerce,series-b,0
10.0,5,60900000.0,4.0,0,nan nan,13000000.0,4,games_video,series-b,0
0.0,1,552000.0,1.0,0,nan,552000.0,1,mobile,venture,0
2.0,1,95000.0,1.0,0,nan,95000.0,1,social,angel,0
3.0,1,900000.0,3.0,0,Dipity launched Dipity releases TimeTube for YouTube Dipity releases Tickr for Flickr Dipity wins Yahoo! BOSS & DayLife Competitions Dipity Launches Archaeologist for Digg Dipity 2.0 ,900000.0,3,web,angel,0
2.0,1,1750000.0,1.0,0,nan,1750000.0,0,web,series-a,0
3.0,2,4100000.0,2.0,0,nan,600000.0,8,search,angel,0
1.0,1,750000.0,1.0,0,nan,750000.0,5,social,angel,0
6.0,4,20500000.0,4.0,0,nan,,1,web,angel,0
1.0,1,3000000.0,1.0,0,nan,3000000.0,1,ecommerce,series-a,0
4.0,4,38430000.0,,0,nan,8000000.0,2,messaging,series-a,0
1.0,1,1100000.0,1.0,0,nan,1100000.0,2,web,angel,0
6.0,2,2000000.0,2.0,0,Dizzywood Surpasses One Million Registered Users ,1000000.0,2,games_video,series-a,0
35.0,1,1000000.0,1.0,0,nan,1000000.0,0,software,angel,0
2.0,1,55000.0,1.0,0,Closed 2nd seed round,55000.0,0,ecommerce,venture,0
1.0,1,600000.0,3.0,0,Dev Gandhi added Co-founder & CEO Raised undisclosed seeding funding from Silicon Valley angel investors,600000.0,0,games_video,angel,0
0.0,1,1100000.0,3.0,0,nan,1100000.0,4,software,angel,0
3.0,1,359999.0,1.0,0,nan,359999.0,0,mobile,venture,1
0.0,1,10000.0,1.0,0,nan,10000.0,0,web,angel,0
7.0,1,1000000.0,3.0,0,DogTime Media Audience Surpasses 50 Million,1000000.0,1,web,angel,1
2.0,2,880000.0,1.0,0,nan,880000.0,0,social,other,0
2.0,3,22800000.0,2.0,0,nan,1000000.0,7,ecommerce,angel,0
1.0,1,900000.0,,0,nan,900000.0,0,ecommerce,angel,0
,1,5000000.0,,0,nan,5000000.0,2,web,venture,0
2.0,3,968000.0,2.0,0,"first ongoing revenues both from B2B and B2C launch of the new Pick1 logo, SMB's beta product and homepage big press article on Jack magazine (first Italian tech magazine)
 first commercial deals with Brands and Advertising Agencies",150000.0,2,analytics,angel,0
5.0,3,13679150.0,3.0,0,"dotCloud adds support for HTML5, WebSockets, MongoDB 2.0, and vertical scaling dotCloud Launches New SDK for JavaScript Developers",,1,software,angel,1
7.0,3,10338000.0,3.0,0,"DotNetNuke Corporation Acquires Active Modules Inc. DotNetNuke Corp. Opens European Headquarters in Amsterdam DNN Expands Product Suite, Services and SaaS Offering With DNN Evoq ",,2,software,series-a,0
9.0,4,59000000.0,1.0,0,nan,10000000.0,3,web,series-b,0
2.0,5,17400000.0,2.0,0,nan,200000.0,2,mobile,venture,0
6.0,2,7500000.0,4.0,0,Android Media Player doubleTwist Hits 1 Million Active Users doubleTwist Now Has 1 Million Active Users â€” Every Day,2500000.0,2,software,series-a,0
0.0,1,1000000.0,1.0,0,nan,1000000.0,2,web,angel,0
6.0,1,,2.0,0,nan,,1,games_video,angel,0
3.0,1,925000.0,3.0,0,Drawn to Scale wins CloudConnect Launchpad Finals slot,925000.0,2,analytics,venture,0
2.0,1,156700.0,,0,nan,156700.0,0,games_video,series-a,0
0.0,1,20000.0,1.0,0,nan,20000.0,1,software,angel,0
2.0,1,250000.0,3.0,0,Drippler reaches 2.5M users Drippler reaches 5M Android users and launches iPhone app,250000.0,4,mobile,angel,0
1.0,1,300000.0,1.0,0,nan,300000.0,2,mobile,angel,0
3.0,3,1625000.0,2.0,0,Won Silver prize at MassChallenge 2012,325000.0,0,mobile,angel,0
6.0,4,257200000.0,4.0,0,"Index Leads $4 billion Valuation Round In Dropbox Dropbox Buys Cove To Bring Former Facebookers Ruchi Sanghvi And Aditya Agarwal To The Team Dropbox reaches 100 million users, founders not concerned about competing services Dropbox Hits 175 Million Users, Launches New Developer Tools, Yahoo Mail Integration For Android Dropbox Is Said to Seek $250 Million in Funding, Doubling Its Valuation",,1,software,angel,0
4.0,4,47800000.0,3.0,0,Dropcam announces first product Dropcam Internet Camera Dropcam releases Dropcam Echo Wi-Fi Camera Dropcam releases free Android app Dropcam HD launches at CES 2012 Dropcam launches iPad app Dropcam Pro Launches,,5,software,angel,1
2.0,2,100000.0,1.0,0,nan,50000.0,1,software,angel,0
2.0,2,4150000.0,,0,nan,1600000.0,0,analytics,series-a,0
1.0,1,500000.0,1.0,0,nan,500000.0,1,mobile,angel,0
4.0,2,18000000.0,1.0,0,nan,16000000.0,0,ecommerce,venture,0
4.0,3,18600000.0,2.0,0,nan,2300000.0,3,mobile,series-a,0
1.0,2,12200000.0,2.0,0,Duetto Edgeï¿? product launch.,2100000.0,3,software,series-a,0
,1,28500000.0,,0,nan,28500000.0,1,software,venture,0
1.0,1,275000.0,,0,nan,275000.0,0,software,other,0
3.0,2,21300000.0,2.0,0,nan,8000000.0,6,software,series-a,0
2.0,1,130000.0,1.0,0,nan,130000.0,0,games_video,other,0
0.0,1,,,0,nan,,4,web,angel,0
14.0,1,275000.0,,0,nan,275000.0,0,software,venture,0
1.0,1,,,0,nan,,2,security,series-a,0
1.0,1,,2.0,0,nan,,1,web,angel,1
,1,4300000.0,2.0,0,nan,4300000.0,2,mobile,venture,0
2.0,1,150000.0,,0,nan,150000.0,0,software,angel,0
1.0,2,850000.0,2.0,0,nan,,1,ecommerce,angel,0
1.0,1,335000.0,1.0,0,nan,335000.0,4,ecommerce,angel,0
13.0,1,2500000.0,1.0,0,nan,2500000.0,1,web,series-a,0
,1,8000000.0,1.0,0,nan,8000000.0,1,messaging,venture,0
3.0,1,500000.0,,0,nan,500000.0,0,software,venture,0
4.0,4,550000.0,,0,nan,200000.0,0,software,other,0
,2,27000000.0,2.0,0,nan,3000000.0,4,mobile,series-b,0
18.0,1,3000000.0,1.0,0,nan,3000000.0,2,software,venture,0
1.0,1,,1.0,0," edRover, the nationâ€™s first location-based mobile application for school fundraising, took the top prize in the â€œSocial Goodâ€? category of AT&Tâ€™s sixth annual â€œOpen Call â€“ Apps for All!â€? competition. One winner in each of the four categories edRover school fundraising app is released for iOS devices 

edRover to receive co-development and marketing funds to launch app for Windows Phones edRover school fundraising app is released for Windows Phone 7 devices EDROVER NAMED A TOP 25 FINALIST IN PHILANTHROPIC SMALL BUSINESS OF THE YEAR FOR 3rd ANNUAL CLASSY AWARDS",,0,mobile,angel,0
3.0,1,,,0,nan,,1,web,series-a,0
13.0,2,24000000.0,1.0,0,nan,9000000.0,2,search,series-c+,1
5.0,1,50000.0,1.0,0,nan,50000.0,0,web,angel,0
6.0,1,300000.0,,0,nan,300000.0,0,web,angel,0
1.0,1,3000000.0,2.0,0,nan,3000000.0,1,web,series-a,0
13.0,2,113000000.0,,1,nan,3000000.0,1,web,series-a,0
15.0,5,94828397.0,3.0,0,Elance To Give $1 Million To Startup America Partnership,12000000.0,1,web,series-a,0
4.0,1,1250000.0,,0,nan,1250000.0,0,web,angel,0
11.0,4,25598000.0,1.0,0,nan,8000000.0,3,software,series-b,0
2.0,5,465000.0,2.0,0,"Hired Melissa Hui, Formerly RelayHealth",45000.0,1,software,angel,0
,2,14750000.0,,0,nan,12750000.0,3,web,series-a,0
8.0,1,,2.0,0,ElephantDrive Teams with Netgear to provide cloud storage for ReadyNAS users. ElephantDrive teams with QNAP to provide cloud backup solution on QNAP TurboNAS devices. ElephantDrive and Thecus partner to provide ElephantDrive Backup on Thecus NAS. ElephantDrive comes to Linux! ElephantDrive releases Linux backup client.,,2,web,venture,0
,1,2000000.0,1.0,0,nan,2000000.0,4,ecommerce,series-a,0
2.0,1,1250000.0,2.0,0,Chris Corriveau is an advisor,1250000.0,4,web,angel,0
4.0,1,,1.0,0,Embee Mobile Wallet PlatinumTel and Embee Mobile Launch PlatinumTel Mobile Wallet Facebook Application Embee Mobile launches International Mobile Top Up coverage Embee Mobile supports Amazon and Fandango Gift Codes. EmbeePay expands support for Groupon Gift Cards. EmbeePay Launches in Thailand Embee Mobile Rewards Over One Million Users Embee Mobile Adds Coupons for AT&T Wireless Plans Virtual Currency Increases Demand for Free Mobile Services on Facebook,,3,mobile,venture,0
4.0,1,18000000.0,1.0,0,nan,18000000.0,3,software,series-b,1
2.0,1,686000.0,,0,nan,686000.0,0,software,angel,0
12.0,1,7500000.0,1.0,0,nan,7500000.0,3,software,venture,0
1.0,1,10000.0,1.0,0,nan,10000.0,1,social,angel,0
1.0,1,70000.0,2.0,0,Emp.ly beta launch Talentag.com launched Q&A tagging and reviews launched on Talentag,70000.0,3,web,angel,0
,1,1000000.0,,0,nan,1000000.0,5,web,venture,1
1.0,1,1500000.0,1.0,0,nan,1500000.0,4,messaging,series-a,1
,1,14000000.0,,0,nan,14000000.0,6,software,series-b,0
5.0,3,4750000.0,2.0,0,nan,1250000.0,2,software,series-a,0
1.0,1,,1.0,0,nan,,3,games_video,angel,0
2.0,1,110000.0,,0,nan,110000.0,0,web,angel,0
3.0,2,,2.0,0,"Launched the Enerveeï¿? Score for TVs Launched the Enerveeï¿? Score for Refrigerators Launched the Enerveeï¿? Score for Dishwashers, Clothes Washers, Clothes Dryers, Freezers, and Air Conditioners Integrated product offers from Amazon Marketplace Launched the Enerveeï¿? Score for Video Game Consoles, Computer Monitors, and Video Projectors Partnered with Sustainable Industries to offer energy-smart shopping for B2B market",,2,analytics,angel,0
7.0,3,37500000.0,3.0,0,"Added Michael Mersch, Director of Channel Sales & Alliances  ",3500000.0,1,software,series-a,0
14.0,3,17280000.0,,0,nan,4880000.0,3,analytics,series-c+,0
5.0,2,3735202.0,,0,nan,2235202.0,0,software,series-a,0
12.0,2,12100900.0,2.0,0,"Launched @ensenda Twitter account to highlight news and events that logistics, transportation and supply chain decision-makers should know",10300000.0,3,software,venture,0
1.0,1,2100000.0,1.0,0,nan,2100000.0,0,search,venture,0
1.0,2,3748000.0,2.0,0,nan,248000.0,1,software,venture,0
,1,275000.0,,0,nan,275000.0,0,software,venture,0
4.0,1,6000000.0,1.0,0,nan,6000000.0,1,software,series-a,0
13.0,5,59000000.0,3.0,0,"Envivio Shakes Up Management, Raises $15M Live Video's Envivio Files $69M IPO",25000000.0,11,software,venture,1
12.0,2,46000000.0,1.0,0,nan,40000000.0,2,software,series-c+,0
,2,1944669.0,,0,nan,1444669.0,0,ecommerce,venture,0
1.0,1,2000000.0,2.0,0,nan,2000000.0,4,games_video,series-a,0
,1,76000.0,,0,nan,76000.0,0,social,venture,0
11.0,2,5709625.0,1.0,0,nan,709625.0,0,software,venture,0
1.0,1,20000.0,1.0,0,nan,20000.0,2,web,angel,0
5.0,1,2000000.0,,0,nan,2000000.0,0,ecommerce,venture,0
0.0,1,1600000.0,2.0,0,nan,1600000.0,7,software,series-a,0
1.0,4,3400000.0,2.0,0,nan,,1,analytics,angel,0
,1,242500.0,,0,nan,242500.0,0,games_video,angel,0
3.0,4,2288900.0,1.0,0,nan,368435.0,0,ecommerce,angel,0
,3,23600000.0,3.0,0,"Euclid awarded Silicon Valley Business Journal's Idea & Innovation Award for Business Technology. Euclid recognized by Gartner as a Cool Vendor in the Retail category, one of just four companies to receive the honor.",500000.0,8,analytics,angel,0
2.0,1,,,0,nan,,1,web,venture,0
7.0,9,139550000.0,6.0,0,"Eventbrite Sold Over 11M Tickets Last Year For $207M In Gross Sales Eventbrite secured an additional $50 million in financing led by Tiger Global. Eventbrite plans to use this new capital to fuel growth in the global ticketing market. Eventbrite announced that Barry McCarthy, former CFO of Netflix, has joined the company's Board of Directors.  Eventbrite launches ""At the Door"", an iPad application that makes it possilbe to issue tickets and collect payments in any location.  Online Ticket Seller Eventbrite Passes $1 Billion In Total Sales",250000.0,1,web,angel,0
8.0,3,19600000.0,5.0,0,"Eventful community surpasses 10 million registered users and 75,000
performers Eventful Tops 20 Million Registered Users",2100000.0,2,web,series-a,1
1.0,1,1800000.0,2.0,0,nan,1800000.0,5,web,series-a,0
0.0,1,50000.0,1.0,0,nan,50000.0,1,software,angel,0
9.0,2,6700000.0,,0,nan,3200000.0,0,software,venture,0
1.0,3,2200000.0,3.0,0,Everest launches on the App Store,300000.0,4,mobile,angel,0
2.0,2,1600000.0,2.0,0,nan,900000.0,3,messaging,series-a,0
3.0,1,1100000.0,2.0,0,nan,1100000.0,10,ecommerce,angel,0
1.0,1,3100000.0,1.0,0,nan,3100000.0,7,social,venture,0
9.0,9,250500000.0,4.0,0,"Evernote Zooms Past 3 Million Users The Trunk to Ease Discovery of Complementary Products, Increase Revenue for Partners Evernote Hits 4 Million Users CHART OF THE DAY: Evernote's Amazing Path To 5 Million Users Ever-Growing Evernote Hits 10 Million Users (425,000 Paying Ones, Too) Troika Dialog has sold its stake in Evernote",6000000.0,1,software,series-a,0
,1,2997562.0,,0,nan,2997562.0,0,software,series-a,0
,1,,,0,nan,,1,web,angel,0
13.0,4,17532650.0,,0,nan,8000000.0,0,software,venture,0
4.0,1,150000.0,,0,nan,150000.0,0,web,venture,0
6.0,3,34250000.0,3.0,0,"Laszlo Bock, Chief Human Resources Officer at Google, joins Evolv's board of directors.",3450000.0,1,analytics,series-a,1
5.0,1,15000000.0,1.0,0,nan,15000000.0,3,mobile,series-c+,0
,1,3300000.0,2.0,0,nan,3300000.0,14,web,series-a,1
1.0,1,1742379.0,1.0,0,nan,1742379.0,0,web,series-a,0
7.0,1,450000.0,1.0,0,nan,450000.0,0,security,angel,0
5.0,2,6700000.0,3.0,0,"Moved on from Beta and launched 1.0, complete with brand new UI, more mobile apps, international currency support, bolstered QuickBooks export features, and a (simple) pricing plan.",1000000.0,4,software,angel,0
,2,2327337.0,,0,nan,926059.0,0,software,venture,0
2.0,1,863400.0,1.0,0,nan,863400.0,0,software,angel,0
6.0,1,650000.0,,0,nan,650000.0,2,software,venture,0
3.0,1,5600000.0,1.0,0,nan,5600000.0,3,software,series-a,0
6.0,1,150000.0,1.0,0,nan,150000.0,1,games_video,angel,0
5.0,5,12485060.0,,0,nan,4000000.0,1,software,series-a,0
6.0,2,1270632.0,,0,nan,419760.0,0,software,venture,0
2.0,1,102400.0,,0,nan,102400.0,0,mobile,other,0
6.0,3,27000000.0,3.0,0,Factual Inc. named to Lead411's New York City Hot 125 ,1000000.0,14,mobile,angel,0
1.0,1,60000.0,1.0,0,nan,60000.0,1,analytics,angel,0
1.0,1,5750000.0,3.0,0,FamilyFinds acquires Mamaloot,5750000.0,1,web,series-a,0
1.0,1,177000.0,1.0,0,nan,177000.0,3,social,angel,1
2.0,2,5100000.0,2.0,0,nan,1100000.0,11,software,angel,0
4.0,1,5000000.0,2.0,0,Fanbase Launches with $5 million in funding,5000000.0,1,web,series-a,0
2.0,1,175000.0,1.0,0,nan,175000.0,3,social,angel,0
1.0,1,25000.0,1.0,0,nan,25000.0,1,games_video,venture,0
,2,650000.0,2.0,0,nan,150000.0,3,mobile,angel,0
2.0,2,2500000.0,2.0,0,nan,500000.0,0,software,angel,0
6.0,3,15700000.0,2.0,0,Emerged from Beta Acquired by Nextag,5500000.0,2,web,series-a,0
2.0,2,1052500.0,,0,nan,260000.0,0,ecommerce,other,0
,2,1000000.0,,0,nan,,1,software,angel,0
,1,15000000.0,,0,nan,15000000.0,4,mobile,series-b,0
0.0,1,,1.0,0,nan,,1,messaging,angel,0
3.0,2,800000.0,1.0,0,nan,250000.0,0,messaging,angel,0
8.0,1,,2.0,0,nan,,1,ecommerce,private-equity,0
12.0,1,3500000.0,2.0,0,nan,3500000.0,2,web,series-a,0
,1,415000.0,1.0,0,nan,415000.0,0,software,other,0
0.0,3,,1.0,0,nan nan,,1,software,angel,0
2.0,1,125000.0,,0,nan,125000.0,0,software,angel,0
0.0,1,,1.0,0,nan,,1,mobile,angel,0
1.0,5,830000.0,,0,nan,75000.0,0,games_video,angel,0
6.0,1,1200000.0,,0,nan,1200000.0,0,security,angel,0
6.0,1,2000000.0,,0,nan,2000000.0,0,games_video,venture,0
1.0,1,300000.0,,0,nan,300000.0,1,web,angel,0
1.0,1,50000.0,2.0,0,Beta Launch,50000.0,1,social,angel,0
1.0,1,750000.0,1.0,0,nan,750000.0,0,social,angel,0
4.0,2,26300000.0,2.0,0,FinancialForce.com Hits One-Year Milestone FinancialForce.com Voted Best Cloud Offering in the EuroCloud UK Awards FinancialForce.com Named Red Herring Top 100 North America Tech Company FinancialForce.com Wins Best of SaaS Showplace Award FinancialForce.com Wins Software Product of the Year FinancialForce.com wins Software Product of the Year in Business Finance Awards 2013 FinancialForce.com Achieves Record Quarter; Announces Office Expansion Plans,11800000.0,0,software,other,0
2.0,3,11040000.0,1.0,0,nan,2000000.0,8,web,series-a,0
2.0,3,375000.0,1.0,0,nan,125000.0,1,web,angel,0
3.0,2,9150000.0,3.0,0,"Launched the Fingerprint Platform and 4 initial Apps :  Big Kid Life Vet, Big Kid Life Fairy Princess, Big Kid Life Fire Fighter, and PlayMaker.
 Fingerprint and Astro Malaysia partner for Kids Network Sylvan Learning and Fingerprint partner for Kids Mobile Network Samsung selects Fingerprint for Kids Mobile Learn & Play Network",1400000.0,4,games_video,venture,0
2.0,1,1500000.0,1.0,0,nan,1500000.0,0,web,series-a,0
7.0,3,9914176.0,1.0,0,nan,1500000.0,0,software,venture,0
2.0,2,18000000.0,3.0,0,"Firespotter Labs Launches with Funding from Google Ventures Nosh Redefines the Social Dining Experience  Rate Everything with Jotly, Now Available on the Android Market ï¿?berConference Integrates with Box and Evernote
to Provide File and Note Sharing in Calls
 Nosh List App Replaces Paper Wait List and Buzzers at Restaurants NoshList Celebrates One Million Diners Seated Firespotter Labs Launches Free Audio Conferencing Service, UberConference Firespotter Labs Raises $15M Series B 
Led by Andreessen Horowitz
 Firespotter Labs Launches ï¿?berConference Pro Firespotter Labs Receives a 2012 INTERNET TELEPHONY Excellence Award ï¿?berConference Business Launches for SMB, Enterprise ï¿?berConference Adds WebRTC to Visual Conference Calls NoshList Selected by Red Robinï¿? Restaurants for Nationwide Rollout UberConference Launches Mobile Apps for iPhone and Android NoshList Selected by Red Robinï¿? Restaurants for Nationwide Rollout UberConference Announces Google Apps Reseller Program NoshList Launches Mobile Waitlist Apps UberConference Chosen for Enterprise Connectï¿?s Innovation Showcase UberConference Chosen for Google I/O Developer Sandbox UberConference Launches Matching Gift Program to Raise $10,000 for Smile Train
 NoshList Heads to NRA with More Than 11 Million Diners Seated and Key New Features",3000000.0,1,web,series-a,0
10.0,4,39790000.0,,0,nan,3200000.0,2,mobile,series-a,1
0.0,1,,1.0,0,nan,,6,software,angel,0
15.0,5,3767701.0,2.0,0,nan,1240000.0,1,software,series-a,1
2.0,1,1000000.0,1.0,0,nan,1000000.0,0,social,angel,0
13.0,4,45986727.0,1.0,0,nan,18690000.0,3,analytics,venture,0
1.0,1,200000.0,,0,nan,200000.0,0,search,angel,0
6.0,1,2000000.0,,0,nan,2000000.0,0,software,venture,0
1.0,1,300000.0,,0,nan,300000.0,0,analytics,angel,0
,2,5000000.0,3.0,0,nan,3000000.0,1,games_video,series-a,0
